id,date,title,content,created_at,provider,footnotes
13,06/08/2025,CUTTING NAILS - THE DANGER OF NAILS,"The Danger of Nails According to our Sages, nails pose a danger to pregnant women. 35 It should be noted that when our Sages tell us the reason for something, there are also other, deeper reasons behind it. Either way, one should not simply discard nails. Ideally, one should burn them, though it is also permitted to bury them. Flushing them down the toilet is widely considered to be like burying them. 36 In places that women do not frequent, such as a beis medrash , one is per- mitted to discard nails. Nails only pose a danger in the place where they have fallen. Once they have been moved, they no longer pose a danger. Therefore, if one mistakenly dropped a nail, he should sweep that area, and need not worry thereafter. 37 A pregnant woman should avoid a beauty salon (where manicures and ped- icures are done) because of the high likelihood of stepping on nails. 38",27/07/2025 10:57,Rabbi Daniele Braude,"35. Niddah  17a.
36. Chut Shani  1:5.
37. Mishnah Berurah  260:6.
38. Heard from Rav Yitzchak Berkovits."
14,07/08/2025,"CUTTING NAILS, CONTINUED - WASHING AFTER CUTTING NAILS","Washing after Cutting Nails One must wash after cutting nails, for a ruach raah (evil spirit) rests on a person after his nails have been cut. 39 One only needs to wash once on each hand (unlike the morning washing which requires three times on each hand). One must wash for cut fingernails and for cut toenails. 40 If one used his fingers to cut his nails (as opposed to scissors or a nail clip- per), he still needs to wash. 41 However, if one bit a nail off, he need not wash. 42 One should even wash the hands of an infant or child whose nails have been cut. The one who cuts the nails need not wash.",27/07/2025 10:57,Rabbi Daniele Braude,"39. Mishnah Berurah  4:38.
40. Ketzos HaShulchan  2:11.
41. Ibid.
42. Chazon Ish in  Orchos Rabbeinu  1:105."
15,08/08/2025,"CUTTING NAILS, CONTINUED - THE ORDER OF CUTTING","The Order of Cutting Ideally, one should not cut his fingernails sequentially. 43 We have a tradition from our Sages that it is bad for one’s memory. (It should be noted that when our Sages explain the reason for something, there are often many deeper reasons behind it.) The correct order is (where 1 is the thumb and_ is the smallest finger): LEFT: 4, 2, 5, 3, 1 (descending — even numbers, then odd numbers) RIGHT: 2, 4, 1, 3, 5 (ascending — even numbers, then odd numbers) One can cut toenails sequentially. 44",27/07/2025 10:57,Rabbi Daniele Braude,"43. Rama ,  Orach Chaim  260:1
44. Rav Chaim Kanievsky in  Sefer HaZikaron  2:36."
16,09/08/2025,"CUTTING NAILS, CONTINUED - ROSH CHODESH","Rosh Chodesh In some places, there is a custom not to cut nails or get haircuts on Rosh Chodesh, even when it falls on Friday. 45",27/07/2025 10:57,Rabbi Daniele Braude,45. Mishnah Berurah  260:7.
17,10/08/2025,"CUTTING NAILS, CONTINUED - THE NINE DAYS",The Nine Days One is permitted to cut his nails on the Friday that falls out during the nine days from Rosh Chodesh Av until Tishah B’Av. 46,27/07/2025 10:57,Rabbi Daniele Braude,46. Ibid. 651:20.
18,11/08/2025,WORKING ON FRIDAY AFTERNOONS - PLANNED JOBS,"Planned Jobs Within about two hours of Shabbos, one may not do a planned fixed job. 47 The concern is that if one does so, it will possibly lead to desecrating Shab- bos, and will certainly not leave enough time to prepare for Shabbos properly. If one does such work, he will not see blessing from that job. Some examples: • A plumber should not schedule a job to take place close to Shabbos. But responding to an emergency call is permitted. • A lawyer should not plan an appointment or open a new-client file at that time. • A person should not plan to renovate or paint his house on his own at that time. Jobs That Were Not Planned If a job arises that was not planned, one may do it. • If one’s computer broke down, he is permitted to fix it.",27/07/2025 10:57,Rabbi Daniele Braude,"47. Rama ,  Orach Chaim  251:1."
19,12/08/2025,WORKING ON FRIDAY AFTERNOONS - EMPLOYEES,"Employees The above prohibition does not apply to employees who are being paid to work by the day or month. 48 Unless the custom is otherwise, one must work a normal workday, leaving the minimal time required to perform basic prepa- rations for Shabbos, which includes time to get home and finish cooking, etc. However, if the company allows one to leave earlier, he should do so.",27/07/2025 10:57,Rabbi Daniele Braude,48. Mishnah Berurah  251:3.
20,13/08/2025,WORKING ON FRIDAY AFTERNOONS - A TRADER OR BUSINESS OWNER,"A Trader or Business Owner Similarly, the above prohibition does not fully apply to a shop owner. Such a person is required to close his shop one hour before sunset. 49 Exceptions (where one may continue until shortly before candle-lighting): • As we have stated, a temporary job that was not planned in advance is permitted. • Doing an unpaid job that is a mitzvah is permitted, such as writing a dvar Torah . 50 It may even be done for payment if it is urgently required, such as fixing a Sefer Torah that will be needed for Shabbos. 51 • Anything that is needed for Shabbos is permitted, even for someone else, if one is not being paid for it. • Haircuts may be given to Jews, even for payment, because it is obviously for the honor of Shabbos. 52 • Poor people are permitted to work until just before candle-lighting, even for payment, if they need the money for Shabbos. 53",27/07/2025 10:57,Rabbi Daniele Braude,"49. Magen Avraham  251:1.
50. Shulchan Aruch ,  Orach Chaim  251:2.
51. Mishnah Berurah  251:6.
52. Ibid. 251:7.
53. Ibid. 251:5."
21,14/08/2025,EATING ON FRIDAY AFTERNOON - THE PROHIBITION,"The Prohibition On erev Shabbos , a person is forbidden to have a feast ( seudah ) that is larger than his usual weekday meal. 54 This is so that one will start off Shabbos with a hearty appetite.",27/07/2025 10:57,Rabbi Daniele Braude,"54. Shulchan Aruch ,  Orach Chaim  249:2."
22,15/08/2025,EATING ON FRIDAY AFTERNOON - A REGULAR-SIZED MEAL,"A Regular-Sized Meal Although a normal weekday meal is permitted (even one with bread), if one knows that eating a normal meal before the ninth hour will reduce his appetite for the Shabbos meal, it is praiseworthy to reduce it from the ninth Halachic hour (if the daytime and nighttime hours are equal, this is about three p.m.). 55 Interestingly, the same applies to eating on Shabbos morning before the seudah , such as by a kiddush . One should avoid satisfying himself there, and maintain his appetite for his Shabbos lunch seudah . 56 Even a wealthy person who is accustomed to lavish meals should try refrain from eating such a meal on erev Shabbos . The casual eating of fruit or mezonos (such as crackers or cake) is permitted throughout the day, and need not be avoided.",27/07/2025 10:57,Rabbi Daniele Braude,"55. Mishnah Berurah  249:15.
56. Biur Halacha  249:2, “ Muttar .”"
23,16/08/2025,EATING ON FRIDAY AFTERNOON - SEUDAS MITZVAH,"Seudas Mitzvah A seudas mitzvah (such as the meal that accompanies a bris milah, pidyon haben , or siyum ) is permitted throughout the day, but it is preferable that it take place in the morning. 57",27/07/2025 10:57,Rabbi Daniele Braude,57. Mishnah Berurah  249:13.
24,17/08/2025,THE ARRIVAL OF SHABBOS - THE TWO ANGELS,"The Two Angels Our Sages tell us that a person is accompanied by two angels when he returns from shul, one good and one bad. 64 If they see the table set, the beds made, and the candles lit, the good angel says, “May it be like this every week,” and the bad angel is compelled to confirm this blessing. However, if they see that the house is not appropriate for the honor of Shabbos, the bad angel says, “May it be like this every week,” and the good angel confirms it.",27/07/2025 10:57,Rabbi Daniele Braude,"58. Mishnah Berurah  262:9.
59. Shulchan Aruch ,  Orach Chaim  262:1.
60. Ibid. 262:3
61. Mishnah Berurah  262:10.
62. Ibid. 651:47.
63. Ibid. 134:9.
64. Shabbos  119b."
25,18/08/2025,SHNAYIM MIKRA V’ECHAD TARGUM - THE SOURCE,"The Source Each man is obligated to learn shnayim mikra v’echad targum — [reading] the parashah twice and the translation once, by the time the sedra is read on Shabbos day. 65 (This is in addition to the mitzvah of learning Torah.) The Gemara states that whoever does so will merit “extended days and years of life.” This obligation does not apply to the Yom Tov reading.",27/07/2025 10:57,Rabbi Daniele Braude,65. Brachos  8a.
26,19/08/2025,SHNAYIM MIKRA V’ECHAD TARGUM - WHAT THE OBLIGATION ENTAILS,"What the Obligation Entails One must read the parashah twice and read a translation. Ideally, one should read the Aramaic translation known as Targum Onkelus (found on the side of the pessukim in most Chumashim ). However, one who does not understand it may read a translation. 66 Even then, one should still try to read Onkelus , as it has its roots directly in Har Sinai. It is also very praiseworthy to read Rashi’s commentary. 67",27/07/2025 10:57,Rabbi Daniele Braude,"66. Mishnah Berurah  285:5.
67. Shulchan Aruch ,  Orach Chaim  285:2."
27,20/08/2025,SHNAYIM MIKRA V’ECHAD TARGUM - THE PROPER ORDER,"The Proper Order One must start off with the passuk . 68 Any variation from there is permitted. Thus, one may do: • Passuk , passuk , translation • Passuk , translation, passuk One may also do a paragraph, aliyah , or parashah at a time, instead of a single passuk at a time. One must read the parashah in order, without skipping around. Thus, if one missed a passuk or parashah , he must go back and complete what he missed before continuing with the current schedule.",27/07/2025 10:57,Rabbi Daniele Braude,68. Mishnah Berurah  285:2.
28,21/08/2025,SHNAYIM MIKRA V’ECHAD TARGUM - WHEN TO START,"When to Start One can start as early as after Minchah on the preceding Shabbos. 69 The Vilna Gaon was accustomed to read a small amount each day, and com- pleted his reading on erev Shabbos . One may make up one of the two required readings by saying the words along with the baal korei (Torah reader) on Shabbos. Merely listening to him does not suffice.",27/07/2025 10:57,Rabbi Daniele Braude,69. Ibid. 285:7.
29,22/08/2025,SHNAYIM MIKRA V’ECHAD TARGUM - THE WEEKLY DEADLINE,"The Weekly Deadline One should try to complete it before the Shabbos lunch meal. 70 If one did not finish it before then, he should try to finish before Minchah . If he did not, he should try to finish before Tuesday night. If he had still not completed it, he should be sure to finish before Simchas Torah, for that is when the new cycle will start. It is best not to stop to eat, drink, or talk during this mitzvah. However, one need not restart if he did interrupt. 71 If one can read with the taamim (the Leining tune, also known as the trop ), it is praiseworthy to do so. One must hear the words that he is reading.",27/07/2025 10:57,Rabbi Daniele Braude,"70. Shulchan Aruch ,  Orach Chaim  285:4.
71. Mishnah Berurah  285:9."
30,23/08/2025,THE SHABBOS LIGHTS - THE MITZVAH OF SHABBOS LIGHTS IS VERY IMPORTANT,"The mitzvah of Shabbos lights is very important. The basic obligation is to light one flame. However, the custom is to light at least two candles, representing the two commandments of Shabbos, 72 zachor (actively remembering) and shamor (guarding the day from desecration). Some light seven lights, representing the seven days of the week or of Cre- ation. 73 Some light ten lights, representing the Ten Commandments. A very prevalent custom is to light an extra light for each additional child, although one should say bli neder (without vowing) the first time that one does so, to avoid giving this custom the potency of a vow.",27/07/2025 10:57,Rabbi Daniele Braude,"72. Shulchan Aruch ,  Orach Chaim  263:1.
73. Mishnah Berurah  263:6."
31,24/08/2025,THE SHABBOS LIGHTS - REASONS FOR THE MITZVAH,"Reasons for the Mitzvah Our Sages bring three reasons for this mitzvah: • Oneg Shabbos : Having light adds enjoyment to Shabbos. 74 • Kavod Shabbos : Adding light is a way of honoring Shabbos. • Shalom bayis : Light ensures that people don’t fall or bump into things, thus ensuring peace and tranquility in the home. 75",27/07/2025 10:57,Rabbi Daniele Braude,"74. Ibid. 263:1.
75. Ibid. 263:2."
32,25/08/2025,THE SHABBOS LIGHTS - WHERE TO LIGHT,"Where to Light The main mitzvah applies in the room where one eats, because that is the main place that oneg Shabbos (enjoyment) takes place. Therefore, that is where the brachah should be made. 76 However, to ensure shalom bayis , one should light in every room that he will use. Today, our houses are lit up in all rooms that we use, and so, one need not light extra candles in all of the rooms.",27/07/2025 10:57,Rabbi Daniele Braude,76. Ibid.
33,26/08/2025,"THE SHABBOS LIGHTS, CONTINUED - WHO IS OBLIGATED TO LIGHT?","Who Is Obligated to Light? The mitzvah is to have light in the house. Therefore, anyone can light. 77 However, our Sages tell us that the main obligation is given to women, for two reasons: • Since it is a mitzvah that affects the house, and women are generally in charge of house affairs, they get priority in this mitzvah . • When Chavah (Eve) was involved in causing Adam HaRishon (Adam) to sin, she extinguished “the light of the world.” Shabbos lights are a way to “repair” that sin. 78",27/07/2025 10:57,Rabbi Daniele Braude,"77. Shulchan Aruch ,  Orach Chaim  263:3.
78. Mishnah Berurah  263:12."
34,27/08/2025,"THE SHABBOS LIGHTS, CONTINUED - THE HUSBAND’S JOB","The Husband’s Job Nevertheless, the husband should try have a part in the mitzvah . He should prepare the candles or oil, or singe the wicks so that they will catch fire more quickly when his wife lights. 79 If one’s wife is unable to light (for example, she is in a hospital that does not permit doing so, or has just given birth), he should light for her. 80 According to some Poskim , since the main mitzvah is on women, if there are older girls in the house, they should light instead of the husband. 81 A Woman’s Lighting Ushers in Shabbos When a woman lights Shabbos candles, she ushers in Shabbos, and can no longer do melachah (the activities that are prohibited on Shabbos). 82 She may also not daven Minchah once she has lit. 83 However, in rare cases, she can stipulate beforehand that her lighting will not usher in Shabbos for her, allowing her to do melachah for a bit longer. 84 This is relevant for one who wants to drive to shul after lighting (making sure to stop all melachah before Shabbos comes in) or if she still needs time to daven Minchah . 85 It is advisable to consult a Rav before lighting with this stipulation.",27/07/2025 10:57,Rabbi Daniele Braude,"79. Ibid.
80. Ibid. 263:11
81. Rav   Yosef Shalom Elyashiv in  Shvus Yitzchak  11:1.
82. Mishnah Berurah  263:27.
83. Ibid. 263:43.
84. Rama ,  Orach Chaim  263:10.
85. Rav   Shlomo Zalman Auerbach in  Minchas Shlomo  2:35:8."
35,28/08/2025,"THE SHABBOS LIGHTS, CONTINUED - THE PENALTY FOR FORGETTING","The Penalty for Forgetting To emphasize the importance of this mitzvah , our Sages penalized one who forgets to light. The penalty is that from the next week and on, she must add another candle. 86 This penalty only applies if she forgot to light by mistake. If something unex- pectedly happened that prevented her from lighting ( onnes ), there is no penalty. Similarly, one who has just started keeping the mitzvah of lighting candles need not light extra candles for all the previous weeks that she did not light.",27/07/2025 10:57,Rabbi Daniele Braude,"86. Rama ,  Orach Chaim  263:1."
36,29/08/2025,"THE SHABBOS LIGHTS, CONTINUED - THE TYPE OF LIGHT","The Type of Light The ideal oil to use is olive oil. 87 However, the wax candles that we have are excellent as well. 88 If one does not have candles, she can switch on electric lights (even fluores- cent or LED) for the purpose of doing the mitzvah , and then make the brachah . 89 This is unlike Havdalah, which requires light with heat, in the form of a flame or an incandescent bulb. The candles should be burning at least while the meal is taking place, so that one derives enjoyment from them. 90",27/07/2025 10:57,Rabbi Daniele Braude,"87. Shulchan Aruch ,  Orach Chaim  264:6.
88. Mishnah Berurah  264:23. It is worth noting that some  Poskim  even prefer our wax candles  today.
89. Rav   Yosef Shalom Elyashiv in  Shvus Yitzchak  3:1.
90. Mishnah Berurah  263:40."
37,30/08/2025,"THE SHABBOS LIGHTS, CONTINUED - EARLIEST TIME","Earliest Time The earliest time to light Shabbos candles is plag haminchah , which is one and a quarter Halachic hours before sunset. 91 A Halachic hour is calcu- lated by dividing the total daylight hours from sunrise to sunset into twelve. Thus, in the winter, a Halachic hour is shorter than sixty minutes, and during the summer, it is longer. It is best to follow a luach (calendar) that accurately states exactly when plag haminchah is.",27/07/2025 10:57,Rabbi Daniele Braude,"91. Shulchan Aruch ,  Orach Chaim  263:4."
38,31/08/2025,"THE SHABBOS LIGHTS, CONTINUED - UNDERSTANDING HALACHIC NIGHT","Understanding Halachic Night Shkiyah (sunset): It is definitely Shabbos once actual nightfall has begun (known as tzeis hakochavim , see below). But the period before then — that is, from the time that the sun begins to set — is the subject of Halachic uncertain- ty. We rule strictly and consider this time night, and therefore, Shabbos. 92 (On Saturday at sunset, we also rule strictly, and still consider it Shabbos day until we are certain that nightfall has begun.) Tzeis hakochavim (stars are out): The Halachic uncertainty ends when there are three stars out. 93 From this point on, it is nightfall, and therefore, on Friday, it is certainly Shabbos, and on Saturday, it is certainly no longer Shabbos. It is worth emphasizing that one should consult the luach , which gives the accurate times for both shkiyah and tzeis hakochavim . If one does not have a luach and is thus uncertain whether it is shkiyah , he must consider it to be Shabbos and not do any melachah . 94",27/07/2025 10:57,Rabbi Daniele Braude,"92. Mishnah Berurah  261:23.
93. Ibid 261:20.
94. Mishnah Berurah  261:1."
39,01/09/2025,"THE SHABBOS LIGHTS, CONTINUED - TOSEFES SHABBOS","Tosefes Shabbos The Torah says that for any mitzvah that involves stopping melachah (for example, Shabbos, Yom Tov, shemittah ), we must add on some time just before it starts. 95 Thus, we are required to add to Shabbos, desisting from melachah from before shkiyah (sunset). • According to the Mishnah Berurah , the ideal amount of tosefes Shabbos (adding on to Shabbos) is at least twenty minutes before sunset, and that is preferably also the latest time that one should light. 96 • In rare cases of need, one may stop all melachah (including lighting candles) five minutes before sunset, and no later. 97 In most communities around the world, the custom is to light candles and allow for tosefes Shabbos eighteen minutes before shkiyah . In Yerushalayim, the custom is to light forty minutes before shkiyah . Example: New York in midwinter: Plag haminchah is_:41 p.m. This is the earliest time that one can light can- dles. It is one and a quarter Halachic hours before sunset. Shkiyah is_:39 p.m. From this point, it is considered Shabbos. Tzeis hakochavim is at_:24 p.m. At this point, it is night without question. • According to the Mishnah Berurah , one should allow for twenty minutes of tosefes Shabbos , and thus light by_:19 p.m. • The custom in New York is to allow for eighteen minutes of tosefes Shabbos , which is why the calendar says that one must light before_:21 p.m. • The absolute latest time, in a case of great necessity, and definitely not on a regular basis at all, is to light five minutes before shkiyah , by_:34 p.m.",27/07/2025 10:57,Rabbi Daniele Braude,"95. Rosh HaShanah  9a;  Mishnah Berurah  261:19.
96. Ibid. 261:23.
97. Rav   Moshe Feinstein in  Igros Moshe ,  Orach Chaim  1:95."
40,02/09/2025,"THE SHABBOS LIGHTS, CONTINUED - TRAVELING","Traveling As long as a husband and wife are in the same place for Shabbos, he is cov- ered by her lighting. 98 If one of them is away, the one at home is the one who lights. However, there are three basic rules for a traveler: • If one is a traveler with his own room for all of his needs, 99 it is like his own house, and he must light. • If one is a visitor in someone else’s house, 100 he must contribute to or own a portion of the candles that the host lights. • If one is completely dependent on the owner of the house for his needs, 101 he is covered by the host’s lighting.",27/07/2025 10:57,Rabbi Daniele Braude,"98. Shulchan Aruch ,  Orach Chaim  263:6.
99. Mishnah Berurah  263:32.
100. Shulchan Aruch ,  Orach Chaim  263:7.
101. Shemiras Shabbos Kehilchasah , old ed., 43:171."
41,03/09/2025,"THE SHABBOS LIGHTS, CONTINUED - APPLICATIONS OF THE THREE RULES","Applications of the Three Rules One’s Own House • If one is staying at a friend’s, but in his own cottage, he “owns” his “house,” and must light. • If one is staying at a hotel, and the hotel does not light for him, he “owns” his “house,” and must either light in the dining area, or contribute to a communal lighting. 102 • Note that lighting in a hotel lobby does not help, and a brachah that is made on this type of lighting is a brachah l’vatalah (a brachah made in vain). One must light in his room or bathroom (saying the bracha outside), provided the hotel allows it. If that is not possible, one should light in the dining area, near to where he eats.",27/07/2025 10:57,Rabbi Daniele Braude,102. Rav Yosef Shalom Elyashiv in  Shvus Yitzchak  14:2.
42,04/09/2025,"THE SHABBOS LIGHTS, CONTINUED - A VISITOR","A Visitor • If one lives in a yeshivah dormitory, he is considered a visitor. However, since he is entitled to the use of the yeshivah’s candles (just like using the food, tables, and chairs), he can rely on the lighting that takes place in the dining room. 103 • If one is staying at a friend’s house, he must contribute to the candles by paying for a portion or receiving a portion as a gift from the host. 104 • If one is staying at a hotel where a reliable Jewish hotel worker lights in the dining room for everyone, he is considered to be a visitor with a partial ownership of the candles, and he can rely on that lighting.",27/07/2025 10:57,Rabbi Daniele Braude,"103. Ibid. 14:1.
104. Rav Moshe Sternbuch in  Teshuvos V’Hanhagos  2:157."
43,05/09/2025,"THE SHABBOS LIGHTS, CONTINUED - A DEPENDENT","A Dependent • A son or daughter living at home is considered a dependent of the house, and is covered by the parent’s lighting. 105",27/07/2025 10:57,Rabbi Daniele Braude,105. Rav Nissim Karelitz in  Chut Shani  4:83:8.
44,06/09/2025,"THE SHABBOS LIGHTS, CONTINUED - EATING OUT ON FRIDAY NIGHT","Eating Out on Friday Night If the family or the wife alone is eating out on Friday night, they should go to their hosts earlier and light there (with a brachah ), so that they will benefit from the candles during the meal. If that is not possible, she should light long-lasting candles at home and go out, but she must be sure to return home to benefit from the candles, such as by eating near them or gazing at them (but one is not allowed to use their light to read). If no one will benefit from the candles when they return (if the candles will already go out by then), the brachah that was recited on the lighting is a brachah l’vatalah . 106 In such cases, one should light at home as normal and wait until after nightfall ( tzeis hakochavim ), derive some benefit from them, and then walk to the host.",27/07/2025 10:57,Rabbi Daniele Braude,"106. Mishnah Berurah  263:30, 40."
